trial,type,season,release,loc,geno,harvest,rep,row,column,nops,noph,vw,nocr,crw,ncrw,trw
HUA-ST03,variety,2019B,2010,Huaral,Adriano,90 days,2,4,6,120,85,26.32,42,4.36,2.99,7.35
HUA-ST03,check,2019B,NA,Huaral,Dagga,90 days,2,4,7,120,99,19.16,123,18.6,6.06,24.66
HUA-ST03,variety,2019B,2010,Huaral,Alexander,90 days,2,4,8,120,50,19.2,22,3.87,2.11,5.98
HUA-ST03,variety,2019B,2014,Huaral,PZ06.120,90 days,2,4,9,120,106,18.23,14,1.51,8.69,10.2
HUA-ST03,variety,2019B,1992,Huaral,Caplina,90 days,2,4,10,120,74,14.83,12,2.36,0.52,2.88
HUA-ST04,variety,2019B,1992,Huaral,Atacama,120 days,1,1,1,120,55,11.14,8,1.2,0.81,2.01
HUA-ST04,variety,2019B,2010,Huaral,Adriano,120 days,1,1,2,120,50,26.47,73,13.87,3.8,17.67
HUA-ST04,variety,2019B,1992,Huaral,Yarada,120 days,1,1,3,120,27,12.57,13,2.12,2.05,4.17
HUA-ST04,variety,2019B,2010,Huaral,Arne,120 days,1,1,4,120,50,13.19,54,7.48,2.25,9.73
HUA-ST04,variety,2019B,2010,Huaral,Benjamin,120 days,1,1,5,120,76,11.44,106,19.68,3.54,23.22
HUA-ST04,check,2019B,NA,Huaral,Dagga,120 days,1,2,1,120,106,19.46,161,36.57,8.63,45.2
HUA-ST04,variety,2019B,2010,Huaral,Alexander,120 days,1,2,2,120,98,22.39,165,26.77,7.88,34.65
HUA-ST04,variety,2019B,1992,Huaral,Tacna,120 days,1,2,3,120,45,15.98,46,5.87,1.91,7.78
HUA-ST04,check,2019B,2014,Huaral,Salyboro,120 days,1,2,4,120,39,11.98,10,1.23,1.41,2.64
HUA-ST04,variety,2019B,1992,Huaral,Huambachero,120 days,1,2,5,120,80,20.71,5,0.45,0.95,1.4
HUA-ST04,variety,2019B,2014,Huaral,PZ06.120,120 days,1,3,1,120,64,16.18,44,4.75,4.1,8.85
HUA-ST04,check,2019B,NA,Huaral,Cemsa,120 days,1,3,2,120,88,18.33,67,12.76,3.23,15.99
HUA-ST04,variety,2019B,2014,Huaral,Abigail,120 days,1,3,3,120,64,13.7,64,9.54,4.61,14.15
HUA-ST04,variety,2019B,1992,Huaral,Costanero,120 days,1,3,4,120,56,8.5,6,0.81,1.2,2.01
HUA-ST04,variety,2019B,2014,Huaral,Sumi,120 days,1,3,5,120,66,18.13,69,9.93,3.35,13.28
HUA-ST04,variety,2019B,2001,Huaral,INA-100,120 days,1,4,1,120,64,10.12,22,3.3,1.8,5.1
HUA-ST04,variety,2019B,2014,Huaral,Isabel,120 days,1,4,2,120,32,5.03,13,1.7,0.86,2.56
HUA-ST04,variety,2019B,1992,Huaral,Jonathan,120 days,1,4,3,120,76,17.79,32,6.03,2.01,8.04
HUA-ST04,variety,2019B,1992,Huaral,Caplina,120 days,1,4,4,120,46,7.7,9,1.36,1.1,2.46
HUA-ST04,variety,2019B,2000,Huaral,Milagrosa,120 days,1,4,5,120,54,17.87,13,3.35,1.05,4.4
HUA-ST04,variety,2019B,2001,Huaral,INA-100,120 days,2,1,6,120,51,10.31,26,4.05,1.57,5.62
HUA-ST04,variety,2019B,2014,Huaral,Sumi,120 days,2,1,7,120,94,20.67,86,13.48,9.02,22.5
HUA-ST04,variety,2019B,1992,Huaral,Jonathan,120 days,2,1,8,120,90,16.48,20,3.89,3.32,7.21
HUA-ST04,check,2019B,NA,Huaral,Cemsa,120 days,2,1,9,120,75,20.56,70,15.02,2.71,17.73
HUA-ST04,check,2019B,2014,Huaral,Salyboro,120 days,2,1,10,120,37,14.28,27,4.33,1.38,5.71
HUA-ST04,variety,2019B,2014,Huaral,Abigail,120 days,2,2,6,120,63,16.26,77,15.42,4.72,20.14
HUA-ST04,variety,2019B,1992,Huaral,Caplina,120 days,2,2,7,120,39,12.82,13,3.21,1.08,4.29
HUA-ST04,variety,2019B,2010,Huaral,Benjamin,120 days,2,2,8,120,66,12.39,108,28.78,5.69,34.47
HUA-ST04,variety,2019B,1992,Huaral,Atacama,120 days,2,2,9,120,94,25.63,88,17.08,3.56,20.64
HUA-ST04,variety,2019B,2014,Huaral,Isabel,120 days,2,2,10,120,32,3.86,10,1.41,1.62,3.03
HUA-ST04,variety,2019B,2010,Huaral,Arne,120 days,2,3,6,120,62,11.04,50,7.52,2.64,10.16
HUA-ST04,check,2019B,NA,Huaral,Dagga,120 days,2,3,7,120,95,19.4,180,42.52,7.62,50.14
HUA-ST04,variety,2019B,2010,Huaral,Alexander,120 days,2,3,8,120,56,19.93,81,24.32,3.58,27.9
HUA-ST04,variety,2019B,2000,Huaral,Milagrosa,120 days,2,3,9,120,61,35.12,57,9.57,3.19,12.76
HUA-ST04,variety,2019B,1992,Huaral,Yarada,120 days,2,3,10,120,36,13.23,23,3.57,1.76,5.33
HUA-ST04,variety,2019B,1992,Huaral,Huambachero,120 days,2,4,6,120,75,22.18,15,2.13,1.67,3.8
HUA-ST04,variety,2019B,2010,Huaral,Adriano,120 days,2,4,7,120,101,34.61,114,23.2,8.14,31.34
HUA-ST04,variety,2019B,1992,Huaral,Costanero,120 days,2,4,8,120,71,23.49,20,5.05,3.69,8.74
HUA-ST04,variety,2019B,1992,Huaral,Tacna,120 days,2,4,9,120,41,13.21,22,3.58,1.68,5.26
HUA-ST04,variety,2019B,2014,Huaral,PZ06.120,120 days,2,4,10,120,65,17.67,46,5.28,3.66,8.94
ICA-ST01,variety,2019,1992,Ica,Tacna,90 days,1,1,1,120,65,21.51,33,3.2,2.04,NA
ICA-ST01,variety,2019,1992,Ica,Jonathan,90 days,1,1,2,120,91,40.02,65,6.96,5.19,NA
ICA-ST01,variety,2019,1992,Ica,Yarada,90 days,1,1,3,120,70,28.23,33,2.86,2.22,NA
ICA-ST01,variety,2019,1992,Ica,Huambachero,90 days,1,1,4,120,82,62.57,30,2.81,1.61,NA
ICA-ST01,variety,2019,1992,Ica,Caplina,90 days,1,1,5,120,85,39.9,99,12.38,3,NA
ICA-ST01,variety,2019,2001,Ica,INA-100,90 days,1,2,1,120,79,33.74,37,4.77,1.66,NA
ICA-ST01,variety,2019,2010,Ica,Benjamin,90 days,1,2,2,120,85,30.25,246,24.63,10.51,NA
ICA-ST01,variety,2019,2010,Ica,Adriano,90 days,1,2,3,120,68,30.42,59,6.67,4.87,NA
ICA-ST01,variety,2019,2014,Ica,Abigail,90 days,1,2,4,120,99,35.9,141,12.9,7.15,NA
ICA-ST01,variety,2019,1992,Ica,Costanero,90 days,1,2,5,120,83,28.77,24,2.1,1.3,NA
ICA-ST01,variety,2019,2010,Ica,Alexander,90 days,1,3,1,120,88,24.61,74,9.28,4.13,NA
ICA-ST01,variety,2019,2000,Ica,Milagrosa,90 days,1,3,2,120,82,31.87,32,4.64,1.07,NA
ICA-ST01,check,2019,2014,Ica,Salyboro,90 days,1,3,3,120,76,23.44,45,4.44,2.91,NA
ICA-ST01,variety,2019,1992,Ica,Atacama,90 days,1,3,4,120,52,16.68,6,0.7,0.57,NA
ICA-ST01,variety,2019,2010,Ica,Arne,90 days,1,3,5,120,103,19.08,197,18.93,3.74,NA
ICA-ST01,variety,2019,2014,Ica,PZ06.120,90 days,1,4,1,120,101,27.54,18,1.74,1.6,NA
ICA-ST01,check,2019,NA,Ica,Dagga,90 days,1,4,2,120,68,16.59,51,6.89,2.27,NA
ICA-ST01,check,2019,NA,Ica,Cemsa,90 days,1,4,3,120,82,30.93,60,10.99,2.53,NA
ICA-ST01,variety,2019,2014,Ica,Sumi,90 days,1,4,4,120,94,30.65,117,10.64,6.19,NA
ICA-ST01,variety,2019,2014,Ica,Isabel,90 days,1,4,5,120,62,11.33,24,2.28,0.75,NA
ICA-ST01,variety,2019,2014,Ica,Sumi,90 days,2,1,6,120,105,24.07,181,15.24,4.27,NA
ICA-ST01,variety,2019,2000,Ica,Milagrosa,90 days,2,1,7,120,81,23.97,25,3.77,2.43,NA
ICA-ST01,variety,2019,2001,Ica,INA-100,90 days,2,1,8,120,78,22.08,33,3.69,1.56,NA
ICA-ST01,variety,2019,2014,Ica,Isabel,90 days,2,1,9,120,82,10.27,31,2.61,1.34,NA
ICA-ST01,check,2019,2014,Ica,Salyboro,90 days,2,1,10,120,81,18.5,34,3.21,2.65,NA
ICA-ST01,variety,2019,2010,Ica,Arne,90 days,2,2,6,120,84,20.94,141,15.08,3.41,NA
ICA-ST01,variety,2019,2014,Ica,PZ06.120,90 days,2,2,7,120,89,23.1,20,1.86,1.89,NA
ICA-ST01,check,2019,NA,Ica,Cemsa,90 days,2,2,8,120,83,27.65,61,7.34,2,NA
ICA-ST01,variety,2019,1992,Ica,Jonathan,90 days,2,2,9,120,82,22.27,63,6.99,5.86,NA
ICA-ST01,variety,2019,1992,Ica,Huambachero,90 days,2,2,10,120,82,32.23,23,1.99,1.09,NA
ICA-ST01,variety,2019,1992,Ica,Tacna,90 days,2,3,6,120,79,16.86,20,2.25,2.37,NA
ICA-ST01,variety,2019,2014,Ica,Abigail,90 days,2,3,7,120,97,23.18,64,6.79,5.84,NA
ICA-ST01,variety,2019,1992,Ica,Caplina,90 days,2,3,8,120,79,16.97,32,3.72,1.71,NA
ICA-ST01,variety,2019,2010,Ica,Adriano,90 days,2,3,9,120,76,14.69,38,4.3,4.77,NA
ICA-ST01,check,2019,NA,Ica,Dagga,90 days,2,3,10,120,69,11.13,36,4.21,3.04,NA
ICA-ST01,variety,2019,2010,Ica,Benjamin,90 days,2,4,6,120,81,21.3,200,17.64,5.23,NA
ICA-ST01,variety,2019,1992,Ica,Yarada,90 days,2,4,7,120,63,20.74,33,3.06,3.05,NA
ICA-ST01,variety,2019,1992,Ica,Atacama,90 days,2,4,8,120,72,25.08,16,1.88,0.66,NA
ICA-ST01,variety,2019,2010,Ica,Alexander,90 days,2,4,9,120,84,24.66,123,16.14,4.72,NA
ICA-ST01,variety,2019,1992,Ica,Costanero,90 days,2,4,10,120,95,26.85,38,2.76,2.33,NA
ICA-ST02,variety,2019,2010,Ica,Alexander,120 days,1,1,1,120,104,32.27,173,26.21,7.89,NA
ICA-ST02,check,2019,NA,Ica,Cemsa,120 days,1,1,2,120,93,44,108,24.02,3.02,NA
ICA-ST02,variety,2019,2014,Ica,Sumi,120 days,1,1,3,120,110,41.85,211,34.23,11.19,NA
ICA-ST02,variety,2019,2010,Ica,Adriano,120 days,1,1,4,120,96,31.93,202,28.29,11.29,NA
ICA-ST02,variety,2019,1992,Ica,Caplina,120 days,1,1,5,120,90,29.86,56,9.21,1.75,NA
ICA-ST02,variety,2019,1992,Ica,Tacna,120 days,1,2,1,120,66,27.41,54,10.13,3.18,NA
ICA-ST02,check,2019,NA,Ica,Dagga,120 days,1,2,2,120,50,22.56,60,13.8,3.48,NA
ICA-ST02,variety,2019,2014,Ica,Isabel,120 days,1,2,3,120,77,18.11,59,8.85,2.04,NA
ICA-ST02,check,2019,2014,Ica,Salyboro,120 days,1,2,4,120,101,36.83,114,19.92,6.35,NA
ICA-ST02,variety,2019,2010,Ica,Arne,120 days,1,2,5,120,93,21.8,169,24.55,7.38,NA
ICA-ST02,variety,2019,1992,Ica,Atacama,120 days,1,3,1,120,73,46.48,32,6.21,1.04,NA
ICA-ST02,variety,2019,2010,Ica,Benjamin,120 days,1,3,2,120,97,31.87,285,53.35,19.29,NA
ICA-ST02,variety,2019,2014,Ica,PZ06.120,120 days,1,3,3,120,90,42.04,57,6.67,11.06,NA
ICA-ST02,variety,2019,1992,Ica,Costanero,120 days,1,3,4,120,105,41.69,47,7.81,4.63,NA
ICA-ST02,variety,2019,1992,Ica,Huambachero,120 days,1,3,5,120,74,47.72,103,8.94,7.31,NA
ICA-ST02,variety,2019,2001,Ica,INA-100,120 days,1,4,1,120,88,54.8,98,22.02,7.8,NA
ICA-ST02,variety,2019,2014,Ica,Abigail,120 days,1,4,2,120,95,52.8,228,47.19,9.6,NA
ICA-ST02,variety,2019,1992,Ica,Jonathan,120 days,1,4,3,120,99,51.26,108,19.57,7.27,NA
ICA-ST02,variety,2019,2000,Ica,Milagrosa,120 days,1,4,4,120,91,42.25,94,13.64,5.9,NA
ICA-ST02,variety,2019,1992,Ica,Yarada,120 days,1,4,5,120,79,31.16,91,17.57,4.37,NA
ICA-ST02,variety,2019,1992,Ica,Yarada,120 days,2,1,6,120,55,25.26,66,11.36,2.34,NA
ICA-ST02,variety,2019,1992,Ica,Jonathan,120 days,2,1,7,120,99,49.74,106,20.72,10.13,NA
ICA-ST02,variety,2019,1992,Ica,Atacama,120 days,2,1,8,120,78,51.91,29,6.2,2.6,NA
ICA-ST02,check,2019,NA,Ica,Dagga,120 days,2,1,9,120,50,19.74,54,15.01,3.66,NA
ICA-ST02,check,2019,2014,Ica,Salyboro,120 days,2,1,10,120,91,40.34,131,23.74,8.59,NA
ICA-ST02,variety,2019,2010,Ica,Alexander,120 days,2,2,6,120,90,28.5,199,38.2,6.65,NA
ICA-ST02,variety,2019,2010,Ica,Benjamin,120 days,2,2,7,120,108,21.14,280,40.88,14.99,NA
ICA-ST02,variety,2019,2014,Ica,Sumi,120 days,2,2,8,120,102,30.86,154,26.52,7.9,NA
ICA-ST02,variety,2019,2000,Ica,Milagrosa,120 days,2,2,9,120,89,36.6,91,12.69,10.85,NA
ICA-ST02,variety,2019,1992,Ica,Huambachero,120 days,2,2,10,120,105,50.2,60,6.28,14.7,NA
ICA-ST02,variety,2019,2014,Ica,Isabel,120 days,2,3,6,120,72,13.33,47,7.69,2.06,NA
ICA-ST02,variety,2019,2010,Ica,Adriano,120 days,2,3,7,120,97,31.01,149,29.5,15.52,NA
ICA-ST02,variety,2019,2014,Ica,Abigail,120 days,2,3,8,120,103,29.93,181,31.98,12.41,NA
ICA-ST02,variety,2019,1992,Ica,Caplina,120 days,2,3,9,120,93,25.7,60,11.12,5.75,NA
ICA-ST02,variety,2019,2001,Ica,INA-100,120 days,2,3,10,120,95,27.5,89,25.45,8.74,NA
ICA-ST02,variety,2019,1992,Ica,Costanero,120 days,2,4,6,120,101,35.45,55,7.93,9.89,NA
ICA-ST02,variety,2019,1992,Ica,Tacna,120 days,2,4,7,120,73,24.82,77,11.22,3.27,NA
ICA-ST02,variety,2019,2010,Ica,Arne,120 days,2,4,8,120,102,23.35,168,28.1,10.27,NA
ICA-ST02,variety,2019,2014,Ica,PZ06.120,120 days,2,4,9,120,98,31.81,60,7.36,14.1,NA
ICA-ST02,check,2019,NA,Ica,Cemsa,120 days,2,4,10,120,93,30.53,62,15.79,3.53,NA
